#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
89,"A Holly Jolly Christmas","Burl Ives",66,140,"adult standards, american folk revival","Easy listening, Folk/Acoustic","Have A Holly Jolly Christmas",1965-10-01,02:15,68,38,58,0,89,0,0,-13,C Major,4,2024-11-09,77khP2fIVhSW23NwxrRluh,"Geffen",8B,USMC16414508
90,"Kiss Me More (feat. SZA)","Doja Cat,SZA",71,111,"dance pop, pop, r&b, rap","Pop, R&B, Hip Hop","Kiss Me More (feat. SZA)",2021-04-09,03:28,76,70,24,0,74,0,10,-4,G#/A♭ Major,4,2024-11-09,748mdHapucXQri7IAO8yFK,"Kemosabe Records/RCA Records",4B,USRC12100543
91,"She Likes It (feat. Jake Scott)","Russell Dickerson,Jake Scott",54,127,"contemporary country, country, country road, modern country rock, indiecoustica, singer-songwriter pop","Country, Folk/Acoustic, Rock, Pop","She Likes It (feat. Jake Scott)",2021-11-05,02:43,79,33,51,0,54,10,10,-12,E Major,4,2024-11-09,6VVqPBFZIbcmv14zNfOc13,"Triple Tigers",12B,USQX92103652
92,"Never Say Never (with Lainey Wilson)","Cole Swindell,Lainey Wilson",50,140,"contemporary country, country, country road, modern country rock, modern country pop","Country, Pop, Rock","Never Say Never (with Lainey Wilson)",2021-11-18,02:56,47,94,1,0,45,0,10,-4,C Minor,4,2024-11-09,03kCiUPjdAV9ur9ugm8PQT,"Warner Music Nashville",5A,USWB12104649
93,"Damn Strait","Scotty McCreery",50,144,"contemporary country, country, country road, modern country rock","Country, Rock","Damn Strait",2021-09-14,03:50,52,64,5,0,48,0,0,-6,E Major,4,2024-11-09,4jp9FimhP2bQ93vR0A5r7b,"Triple Tigers",12B,USQX92102783
94,"she's all i wanna be","Tate McRae",77,160,"pop","Pop","i used to think i could fly",2022-05-27,03:27,60,63,1,0,62,0,10,-5,D Minor,4,2024-11-09,7l9IqDtVWJurTvkQHq1BGh,"RCA Records Label",7A,USRC12103120
95,"Last Night Lonely","Jon Pardi",66,103,"contemporary country, country, country road, modern country rock","Country, Rock","Mr. Saturday Night",2022-09-02,03:02,65,81,1,0,85,0,10,-3,F#/G♭ Major,4,2024-11-09,0k11c8vwyeNSGQex6UMa1v,"Capitol Records Nashville",2B,USUM72200664
96,"Flower Shops (feat. Morgan Wallen)","ERNEST,Morgan Wallen",71,128,"modern country pop, contemporary country","Country, Pop","FLOWER SHOPS (THE ALBUM)",2022-03-11,03:34,54,46,12,0,23,0,0,-6,G Major,3,2024-11-09,1DbZAffh8GGwW41Q3AU8iC,"Big Loud",9B,QZ22S2100091
97,"TO THE MOON","JNR CHOI,Sam Tompkins",62,144,"gambian hip hop, singer-songwriter pop","Hip Hop, Pop","TO THE MOON",2021-11-06,02:32,75,65,5,1,39,30,10,-12,D Major,4,2024-11-09,5vUnjhBzRJJIAOJPde6zDx,"Jnr Choi/Epic",10B,QZNWW2131527
98,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",77,131,"pop, uk pop, alt z, dance pop, transpop","Pop","Unholy (feat. Kim Petras)",2022-09-22,02:36,72,45,1,0,22,0,30,-7,D Major,4,2024-11-09,3nqQXoyQOWXiESFLlDF1hG,"Capitol Records UK / EMI",10B,GBUM72205415
99,"One Mississippi","Kane Brown",54,100,"black americana, contemporary country, country, country road","Country","One Mississippi",2021-08-20,03:33,47,85,0,0,54,0,10,-5,C Major,4,2024-11-09,4FdPnT2cFrpWCmWZd7GXc3,"RCA Records Label Nashville",8B,USRN12100053
100,"Circles Around This Town","Maren Morris",39,150,"classic texas country, contemporary country","Country","Humble Quest",2022-03-25,03:15,59,81,2,0,82,0,10,-5,E Major,4,2024-11-09,08TCIO6LpgC11UdayeOxWB,"Columbia Nashville",12B,USG4X2100006
