#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
90,"Cash Shit (feat. DaBaby)","Megan Thee Stallion,DaBaby",62,130,"houston rap, pop, rap, trap queen, hip hop, north carolina hip hop, pop rap, trap","Hip Hop, Pop, R&B","Fever",2019-05-17,03:12,92,64,2,0,55,40,0,-5,C♯/D♭ Major,4,2024-11-07,2rMAtCaTj16NptyVfEIeAC,"300 Entertainment",3B,QMCE31902212
91,"Tequila","Dan + Shay",66,86,"contemporary country, country, country road","Country","Dan + Shay",2018-06-22,03:16,49,58,3,0,49,0,10,-6,B Major,4,2024-11-07,42fw0rxRO2xbesF6mJfd4Y,"Warner Records",1B,USWB11702518
92,"Shotta Flow","NLE Choppa",64,120,"memphis hip hop, rap","Hip Hop","Cottonwood",2019-12-23,02:40,89,43,8,0,45,50,10,-7,A Major,4,2024-11-07,0VB3YI0Dl6TT3C7mIbHTs4,"Warner Records",11B,QZ85M1903991
93,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion,Ty Dolla $ign,Nicki Minaj",59,99,"houston rap, pop, rap, trap queen, hip hop, pop rap, r&b, southern hip hop, trap, trap soul, hip pop, queens hip hop","Hip Hop, Pop, R&B","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)",2019-08-09,03:19,87,81,0,0,57,10,20,-5,C Major,4,2024-11-07,5N1o6d8zGcSZSeMFkOUQOk,"300 Entertainment",8B,QMCE31902405
94,"Talk You Out Of It","Florida Georgia Line",55,120,"contemporary country, country, country pop, country road, modern country rock","Country, Pop, Rock","Can't Say I Ain't Country",2019-02-15,03:22,65,71,58,0,56,0,0,-5,E Major,4,2024-11-07,4qQwGRtGT7l6ckQtdPEFd4,"BMLG Records",12B,QM3E21802135
95,"Beautiful (feat. Camila Cabello)","Bazzi,Camila Cabello",69,100,"pop, dance pop","Pop","Beautiful (feat. Camila Cabello)",2018-08-02,03:00,64,72,35,0,25,0,10,-5,D Major,4,2024-11-07,4VUwkH455At9kENOfzTqmF,"iamcosmic",10B,USAT21810504
96,"Eyes On You","Chase Rice",63,89,"contemporary country, country, country road, modern country rock","Country, Rock","Lambs & Lions",2017-11-17,03:02,34,65,32,0,46,0,20,-7,A Major,4,2024-11-07,4w95iGC6NrxZJ5o3D7bWyV,"Broken Bow Records",11B,QMRSZ1701931
97,"All To Myself","Dan + Shay",45,95,"contemporary country, country, country road","Country","All To Myself",2018-05-03,02:49,65,78,23,0,62,0,10,-5,C♯/D♭ Major,4,2024-11-07,0uSGTaHms9ceAxb7L6VLrU,"Warner Records",3B,USWB11800876
98,"boyfriend (with Social House)","Ariana Grande,Social House",76,190,"pop, ","Pop","boyfriend",2019-08-02,03:06,40,80,12,0,70,40,10,-4,A#/B♭ Minor,4,2024-11-07,0Ryd8975WihbObpp5cPW1t,"Republic Records",3A,USUG11902591
99,"Walk Me Home","P!nk",56,88,"dance pop, pop","Pop","Walk Me Home",2019-02-20,02:57,65,45,5,0,43,0,10,-6,C♯/D♭ Major,3,2024-11-07,7DHApOHsIFo7EyfieArYGE,"RCA Records Label",3B,USRC11900110
100,"Robbery","Juice WRLD",77,80,"chicago rap, melodic rap, rap","Hip Hop","Death Race For Love (Bonus Track Version)",2019-03-08,04:00,62,69,33,0,57,0,10,-5,D Major,4,2024-11-07,6iaSML1PIYq936g62BDtBq,"Grade A Productions/Interscope Records",10B,USUG11900302
